n,kind_accuracy_3way,discrete_accuracy_2way,elapsed_seconds,total_frames
83,0.963855421686747,0.9879518072289156,120.0,20970
83,0.9156626506024096,0.927710843373494,240.0,75215
83,0.9518072289156626,0.963855421686747,360.0,129591
83,0.927710843373494,0.9518072289156626,480.0,184049
83,0.9397590361445783,0.9518072289156626,600.0,238456
83,0.9156626506024096,0.9397590361445783,720.0,291787
83,0.9397590361445783,0.963855421686747,840.0,346423
83,0.963855421686747,0.9759036144578314,960.1,399095
83,0.927710843373494,0.9518072289156626,1080.1,452304
83,0.9397590361445783,0.9518072289156626,1200.1,506664
83,0.927710843373494,0.9518072289156626,1320.1,559740
83,0.927710843373494,0.9518072289156626,1440.1,613190
83,0.927710843373494,0.963855421686747,1560.1,667216
83,0.927710843373494,0.9759036144578314,1680.1,720375
83,0.927710843373494,0.963855421686747,1800.1,774563
83,0.9397590361445783,0.9518072289156626,1920.1,827700
83,0.927710843373494,0.9397590361445783,2040.1,881276
83,0.927710843373494,0.9518072289156626,2160.1,935510
83,0.9518072289156626,0.963855421686747,2280.1,988477
83,0.9397590361445783,0.9518072289156626,2400.1,1042790
83,0.9156626506024096,0.927710843373494,2520.1,1096068
83,0.9518072289156626,0.9518072289156626,2640.1,1150478
83,0.927710843373494,0.9759036144578314,2760.1,1204873
83,0.927710843373494,0.9759036144578314,2880.1,1257919
83,0.927710843373494,0.9518072289156626,3000.1,1311760
83,0.9518072289156626,0.963855421686747,3120.1,1365010
83,0.927710843373494,0.963855421686747,3240.1,1417256
83,0.9397590361445783,0.963855421686747,3360.2,1471598
83,0.927710843373494,0.9518072289156626,3480.2,1524763
83,0.9397590361445783,0.963855421686747,3600.2,1579129
