buffer_size,buffer_size_confirmed,frequency_hz,theoretical_ms,factor,wait_ms_target,n_sent,total_arrived,dropped,loss
64,64,100,640.0,0.3,192,36,36,0,False
64,64,100,640.0,0.6,384,55,55,0,False
64,64,100,640.0,1.0,640,80,80,0,False
64,64,100,640.0,1.5,960,112,112,32,True
64,64,100,640.0,2.5,1600,176,176,96,True
64,64,100,640.0,4.0,2560,272,272,192,True
64,64,500,128.0,0.3,38,95,95,0,False
64,64,500,128.0,0.6,77,115,115,0,False
64,64,500,128.0,1.0,128,140,140,0,False
64,64,500,128.0,1.5,192,172,172,31,True
64,64,500,128.0,2.5,320,236,236,95,True
64,64,500,128.0,4.0,512,332,332,191,True
64,64,1000,64.0,0.3,19,170,170,0,False
64,64,1000,64.0,0.6,38,189,189,0,False
64,64,1000,64.0,1.0,64,215,215,0,False
64,64,1000,64.0,1.5,96,247,247,30,True
64,64,1000,64.0,2.5,160,311,311,94,True
64,64,1000,64.0,4.0,256,407,407,190,True
