buffer_size,buffer_size_confirmed,frequency_hz,theoretical_ms,factor,wait_ms_target,n_sent,total_arrived,dropped,loss
4,4,100,40.0,0.3,12,18,18,0,False
4,4,100,40.0,0.6,24,19,19,0,False
4,4,100,40.0,1.0,40,20,20,0,False
4,4,100,40.0,1.5,60,22,22,2,True
4,4,100,40.0,2.5,100,26,26,6,True
4,4,100,40.0,4.0,160,32,32,12,True
4,4,500,8.0,0.3,2,77,77,0,False
4,4,500,8.0,0.6,5,79,79,0,False
4,4,500,8.0,1.0,8,80,80,0,False
4,4,500,8.0,1.5,12,82,82,1,True
4,4,500,8.0,2.5,20,86,86,5,True
4,4,500,8.0,4.0,32,92,92,11,True
4,4,1000,4.0,0.3,1,152,152,0,False
4,4,1000,4.0,0.6,2,153,153,0,False
4,4,1000,4.0,1.0,4,155,155,0,False
4,4,1000,4.0,1.5,6,157,157,0,False
4,4,1000,4.0,2.5,10,161,161,4,True
4,4,1000,4.0,4.0,16,167,167,10,True
