platforma,procesor,architektura,system,magistrala_SPI,Recall_%,Precision_%,ramek_w_przebiegu,zgubionych,pochodzenie_danych
Raspberry Pi Zero W,"Broadcom BCM2835, 1 rdzen",ARMv6 32-bit,Raspberry Pi OS Bookworm Legacy,SPI0,85.0,100.0,1625649,0,przeliczone z esp_experiment_4_5_rpi/snapshots.jsonl
Orange Pi Zero 3,"Allwinner H618, 4 rdzenie",ARMv8 64-bit,Armbian Debian 13 Trixie,SPI1 (CS1),85.0,100.0,1685554,0,przeliczone z observer_state_1h.json (przebieg godzinny)
